list_issues,list_artid,img_url
MMKB08:000089150:mpeg21,MMKB08:000089150:mpeg21:a0007,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMKB08:000089150:mpeg21:p003:image&x=2720&y=4640&w=930&h=864
MMKB08:000114972:mpeg21,MMKB08:000114972:mpeg21:a0007,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMKB08:000114972:mpeg21:p003:image&x=1117&y=2467&w=989&h=894
MMSADB01:000007364:mpeg21,MMSADB01:000007364:mpeg21:a0019,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMSADB01:000007364:mpeg21:p004:image&x=1133&y=267&w=833&h=1633
MMDA03:000093937:mpeg21,MMDA03:000093937:mpeg21:a0022,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMDA03:000093937:mpeg21:p004:image&x=2057&y=2008&w=979&h=1202
ddd:010507598:mpeg21,ddd:010507598:mpeg21:a0006,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010507598:mpeg21:p002:image&x=72&y=2382&w=901&h=2178
ddd:010873135:mpeg21,ddd:010873135:mpeg21:a0011,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010873135:mpeg21:p004:image&x=89&y=241&w=906&h=141
ddd:010585908:mpeg21,ddd:010585908:mpeg21:a0003,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585908:mpeg21:p002:image&x=2802&y=3561&w=840&h=377
ddd:010996183:mpeg21,ddd:010996183:mpeg21:a0035,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010996183:mpeg21:p004:image&x=3133&y=5731&w=989&h=164
ddd:010495764:mpeg21,ddd:010495764:mpeg21:a0002,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010495764:mpeg21:p001:image&x=100&y=3188&w=976&h=462
ddd:010097947:mpeg21,ddd:010097947:mpeg21:a0035,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010097947:mpeg21:p003:image&x=3221&y=3767&w=458&h=43
ddd:010262950:mpeg21,ddd:010262950:mpeg21:a0046,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010262950:mpeg21:p004:image&x=1665&y=171&w=496&h=74
